epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1117.83,1.53078,1.05227,1.43258,0.61127,0.64626,0.66972,0.30884,1.83937,1.45377,1.65005,0.0011684,0.0011684,0.0011684
44,1144,1.4923,0.99756,1.41954,0.74789,0.80724,0.80357,0.42568,1.64845,1.098,1.51771,0.0011486,0.0011486,0.0011486
45,1169.2,1.53666,1.04001,1.39519,0.74789,0.82993,0.85011,0.44555,1.67621,1.03586,1.51006,0.0011288,0.0011288,0.0011288
46,1194.73,1.50824,0.99392,1.41236,0.75395,0.78912,0.82762,0.38331,1.7564,1.09221,1.58608,0.001109,0.001109,0.001109
47,1221.22,1.50886,0.97586,1.41989,0.67256,0.60544,0.63559,0.28208,2.13494,1.38957,1.90082,0.0010892,0.0010892,0.0010892
48,1245.91,1.47545,0.97522,1.37667,0.78931,0.85034,0.86752,0.42655,1.63645,1.08671,1.49208,0.0010694,0.0010694,0.0010694
49,1271.33,1.42269,0.96607,1.36248,0.72244,0.87075,0.88439,0.45886,1.66772,1.01998,1.53546,0.0010496,0.0010496,0.0010496
50,1297.44,1.42946,0.95174,1.36324,0.78161,0.85034,0.86245,0.44932,1.595,1.00313,1.48626,0.0010298,0.0010298,0.0010298
51,1321.95,1.43505,0.96454,1.36228,0.80454,0.84005,0.88928,0.44856,1.63271,0.98201,1.46893,0.00101,0.00101,0.00101
52,1347.52,1.49272,0.98667,1.38985,0.80806,0.80189,0.88342,0.46198,1.58682,0.98044,1.47538,0.0009902,0.0009902,0.0009902
53,1373.8,1.43851,1.00666,1.39824,0.77149,0.84979,0.86724,0.45653,1.59433,0.99142,1.47654,0.0009704,0.0009704,0.0009704
54,1398.5,1.43458,0.97123,1.33883,0.8022,0.85034,0.8872,0.48948,1.57041,0.95398,1.45798,0.0009506,0.0009506,0.0009506
55,1425.37,1.43764,0.93979,1.37395,0.78531,0.77141,0.8375,0.44498,1.66669,1.07014,1.53957,0.0009308,0.0009308,0.0009308
56,1450.48,1.43893,0.93422,1.37953,0.71389,0.83175,0.83566,0.41604,1.71971,1.04562,1.56491,0.000911,0.000911,0.000911
57,1475.17,1.42792,0.94939,1.34307,0.82154,0.78912,0.88948,0.46893,1.58597,0.9673,1.46561,0.0008912,0.0008912,0.0008912
58,1501.67,1.39366,0.91905,1.30639,0.83006,0.83067,0.88887,0.47179,1.60974,0.96222,1.4935,0.0008714,0.0008714,0.0008714
59,1526.89,1.43317,0.91415,1.3581,0.86112,0.88582,0.92819,0.4936,1.58146,0.88578,1.47905,0.0008516,0.0008516,0.0008516
60,1552.73,1.3985,0.92081,1.33866,0.80125,0.87075,0.89519,0.47965,1.5688,0.95693,1.41811,0.0008318,0.0008318,0.0008318
61,1579.27,1.43101,0.9267,1.36482,0.68601,0.66884,0.68529,0.31611,1.88374,1.30423,1.64598,0.000812,0.000812,0.000812
62,1604,1.36781,0.88647,1.31245,0.79779,0.72109,0.8283,0.4167,1.71565,1.08103,1.54936,0.0007922,0.0007922,0.0007922
63,1628.94,1.39447,0.8937,1.31665,0.84108,0.78912,0.85903,0.46297,1.56416,1.03286,1.48324,0.0007724,0.0007724,0.0007724
64,1655.35,1.40603,0.90211,1.33119,0.85764,0.78912,0.89788,0.47174,1.57911,0.97143,1.46587,0.0007526,0.0007526,0.0007526
65,1679.71,1.33958,0.85537,1.30777,0.81317,0.87755,0.89232,0.48478,1.56941,0.92266,1.44973,0.0007328,0.0007328,0.0007328
66,1705.03,1.40179,0.89038,1.32885,0.80086,0.84811,0.87489,0.48094,1.56131,0.96152,1.46531,0.000713,0.000713,0.000713
67,1731.04,1.44246,0.91526,1.34769,0.85781,0.86188,0.88268,0.48694,1.55156,0.91806,1.44524,0.0006932,0.0006932,0.0006932
68,1755.69,1.33589,0.83401,1.29084,0.84221,0.85034,0.88633,0.49215,1.58763,0.90613,1.46166,0.0006734,0.0006734,0.0006734
69,1780.9,1.36836,0.88034,1.31525,0.77909,0.91156,0.89189,0.49085,1.51611,0.94651,1.43118,0.0006536,0.0006536,0.0006536
70,1806.88,1.34095,0.85108,1.31864,0.84847,0.87075,0.9225,0.50661,1.59405,0.90742,1.44679,0.0006338,0.0006338,0.0006338
71,1831.97,1.35499,0.83537,1.30472,0.78697,0.80418,0.86724,0.45523,1.62413,0.95477,1.50151,0.000614,0.000614,0.000614
72,1857.91,1.36374,0.85568,1.30928,0.82653,0.82993,0.88181,0.48632,1.54622,0.89284,1.44887,0.0005942,0.0005942,0.0005942
73,1884.01,1.32185,0.80945,1.29201,0.7881,0.89116,0.89762,0.51398,1.52134,0.84496,1.42653,0.0005744,0.0005744,0.0005744
74,1909.86,1.32912,0.80964,1.30214,0.86104,0.85714,0.89587,0.4955,1.53652,0.91941,1.42467,0.0005546,0.0005546,0.0005546
75,1936.03,1.34452,0.82358,1.30037,0.85773,0.82026,0.88107,0.47576,1.60916,0.93484,1.48483,0.0005348,0.0005348,0.0005348
76,1961.36,1.29439,0.83142,1.29481,0.85341,0.85714,0.89284,0.48789,1.54377,0.84774,1.45356,0.000515,0.000515,0.000515
77,1986.14,1.29283,0.78503,1.27565,0.80838,0.81633,0.87908,0.47136,1.61313,0.92482,1.49455,0.0004952,0.0004952,0.0004952
78,2012.43,1.29261,0.78104,1.26803,0.87178,0.82993,0.89308,0.48877,1.58848,0.90313,1.48267,0.0004754,0.0004754,0.0004754
79,2037.36,1.27684,0.80786,1.25502,0.82762,0.87075,0.91104,0.51398,1.51153,0.85281,1.41328,0.0004556,0.0004556,0.0004556
80,2063.21,1.20524,0.75039,1.24357,0.85425,0.87714,0.92721,0.53375,1.53616,0.86291,1.45002,0.0004358,0.0004358,0.0004358
81,2090.41,1.25412,0.79031,1.27188,0.84702,0.85714,0.90033,0.48119,1.59502,0.92953,1.46596,0.000416,0.000416,0.000416
82,2114.79,1.27323,0.80959,1.28262,0.86771,0.90476,0.93432,0.51866,1.52716,0.8351,1.43183,0.0003962,0.0003962,0.0003962
83,2140.11,1.27227,0.78688,1.24389,0.82616,0.8729,0.90902,0.51532,1.54157,0.83647,1.43417,0.0003764,0.0003764,0.0003764
84,2166.62,1.2243,0.75612,1.24595,0.85348,0.84354,0.90418,0.5161,1.52954,0.81209,1.43518,0.0003566,0.0003566,0.0003566
85,2191.29,1.21451,0.74931,1.2281,0.87291,0.87075,0.91599,0.50182,1.52154,0.8557,1.42697,0.0003368,0.0003368,0.0003368
86,2217.11,1.22562,0.7805,1.23929,0.85287,0.89116,0.9048,0.50994,1.49622,0.84735,1.40301,0.000317,0.000317,0.000317
87,2242.18,1.21844,0.75335,1.22882,0.86461,0.89116,0.92212,0.52809,1.52401,0.81147,1.44439,0.0002972,0.0002972,0.0002972
88,2266.85,1.20044,0.73328,1.234,0.85332,0.87075,0.89062,0.52791,1.50251,0.8585,1.41457,0.0002774,0.0002774,0.0002774
89,2292.78,1.23,0.73457,1.24283,0.84603,0.89116,0.89976,0.53188,1.52438,0.84301,1.44961,0.0002576,0.0002576,0.0002576
90,2317.82,1.19366,0.72071,1.22032,0.86692,0.89116,0.91085,0.52284,1.54903,0.82188,1.44826,0.0002378,0.0002378,0.0002378
91,2344.79,1.2088,0.70488,1.23045,0.89342,0.89796,0.92984,0.53179,1.53159,0.8091,1.43193,0.000218,0.000218,0.000218
92,2370.92,1.1654,0.69237,1.21728,0.90407,0.89752,0.91093,0.52064,1.50738,0.82176,1.42999,0.0001982,0.0001982,0.0001982
93,2395.29,1.16598,0.69648,1.22984,0.86504,0.88435,0.908,0.51793,1.49319,0.80832,1.43171,0.0001784,0.0001784,0.0001784
94,2421.28,1.17964,0.70561,1.24373,0.87495,0.90438,0.93644,0.52177,1.48585,0.78887,1.41847,0.0001586,0.0001586,0.0001586
95,2446.95,1.14197,0.67096,1.21722,0.87534,0.90758,0.92777,0.52855,1.51942,0.78722,1.43567,0.0001388,0.0001388,0.0001388
96,2471.31,1.1457,0.68292,1.22356,0.87271,0.88613,0.91178,0.5314,1.50616,0.78636,1.42989,0.000119,0.000119,0.000119
97,2496.64,1.17047,0.6892,1.23153,0.89095,0.88927,0.90945,0.52775,1.49864,0.79695,1.41545,9.92e-05,9.92e-05,9.92e-05
98,2523.13,1.1448,0.6608,1.20613,0.90078,0.90476,0.92812,0.53592,1.47909,0.77961,1.40665,7.94e-05,7.94e-05,7.94e-05
99,2548.48,1.12269,0.659,1.21637,0.89484,0.8683,0.92309,0.53882,1.47677,0.77512,1.4158,5.96e-05,5.96e-05,5.96e-05
100,2574.95,1.12097,0.6602,1.22161,0.87907,0.90476,0.921,0.52973,1.48868,0.78438,1.42081,3.98e-05,3.98e-05,3.98e-05
